Record_ID,DateKey,GeographyKey,DisasterTypeKey,Compound_Event,Disaster_Duration_Days,Disaster_Magnitude,Hazard_Severity,Number_of_Deaths,Number_of_Injuries,Number_of_People_Affected,Displacement_Count,Houses_Damaged,Infrastructure_Damage_Score,Crop_Loss_Percentage,Economic_Loss_Million
REC_2015_01_D_013,20150101,13,2,0,6,3.6,2.99,0,11,103368,25837,6148,14.35,0.0,64.8911
REC_2015_01_D_025,20150101,25,2,0,7,2.76,3.41,0,4,225529,82381,15392,20.89,0.0,318.4431
REC_2015_01_D_032,20150101,32,3,0,9,5.14,4.0,0,8,48679,10800,1901,13.35,0.0,41.3926
REC_2015_01_D_046,20150101,46,2,0,9,4.79,3.92,0,5,143312,33821,5289,27.31,0.0,95.4892
REC_2015_01_D_049,20150101,49,2,0,9,3.11,3.35,0,2,29504,7634,1757,19.88,0.0,231.1288
REC_2015_01_D_061,20150101,61,2,0,7,3.34,2.78,0,12,70265,16711,3356,5.08,0.0,363.6011
REC_2015_01_D_073,20150101,73,2,0,6,2.55,2.13,0,14,137290,44690,8575,7.81,0.0,97.0947
REC_2015_01_D_078,20150101,78,4,0,8,3.13,3.42,0,13,75553,16751,3448,14.33,3.47,39.8155
REC_2015_01_D_091,20150101,91,4,1,18,10.52,9.82,29,70,425776,123662,23578,53.8,17.75,861.2304
REC_2015_01_D_099,20150101,99,2,0,4,1.99,1.77,0,4,95658,33476,4533,7.76,0.0,55.9508
REC_2015_02_D_015,20150201,15,2,0,5,3.35,2.58,1,8,78368,23968,3955,13.62,0.0,43.0532
REC_2015_02_D_041,20150201,41,2,0,11,4.78,4.77,1,15,211037,69380,15854,40.07,0.0,695.8474
REC_2015_02_D_044,20150201,44,2,0,7,2.48,2.87,0,11,39696,7310,1900,10.52,0.0,170.8129
REC_2015_02_D_064,20150201,64,2,0,7,3.34,3.51,0,12,159687,43632,6926,14.01,0.0,827.1525
REC_2015_02_D_081,20150201,81,2,0,4,2.52,3.01,0,10,34084,8424,1469,26.26,0.0,447.7264
REC_2015_03_D_003,20150301,3,2,0,4,1.12,1.36,0,13,83963,24013,3810,6.99,0.0,99.4857
