Record_ID,DateKey,GeographyKey,DisasterTypeKey,Disaster_Occurred,Compound_Event,Hazard_Severity,Rainfall_Anomaly,Temperature_Anomaly,Wind_Speed_kmph,River_Level_Metres,Soil_Moisture,Drought_Index,Vegetation_Index,Seismic_Activity_Index,Hazard_Score,Exposure_Score,Vulnerability_Score,Preparedness_Score,Disaster_Risk_Score,Risk_Category,Emergency_Response_Time_Minutes
REC_2015_01_D_001,20150101,1,1,0,0,0.0,0.2071,1.2073,52.11,3.77,0.9477,12.94,0.689,0.9,24.037817522705502,47.86799923487979,72.64442181473187,82.11955849363103,40.91553882048836,High,137.8
REC_2015_01_D_002,20150101,2,1,0,0,0.0,-0.2044,-2.7007,49.38,3.29,0.95,8.25,0.5839,0.9,31.36371339467085,67.22951964203348,23.16171490364122,69.11516033037428,38.18389058874507,High,71.2
REC_2015_01_D_003,20150101,3,1,0,0,0.0,0.1388,-0.2625,45.34,3.2,0.8741,14.43,0.5367,0.9,16.34866111915566,32.9685257241952,54.90561995186298,52.30997078795146,36.41114059717096,High,65.8
REC_2015_01_D_004,20150101,4,1,0,0,0.0,-0.0433,-0.7307,40.88,3.47,0.757,19.26,0.6116,0.9,16.78708323685916,31.12412969763669,44.49945391453559,14.169405440615998,41.10813978597762,Critical,156.2
REC_2015_01_D_005,20150101,5,1,0,0,0.0,-1.9876,1.2594,42.29,2.23,0.4581,64.47,0.496,0.9,36.91839024974875,33.10544383401,34.321776962927,66.18068573567516,34.696185127023845,Moderate,60.8
REC_2015_01_D_006,20150101,6,1,0,0,0.0,0.1901,0.6593,33.44,3.29,0.95,12.72,0.6376,0.9,15.526591149547992,71.54470763253634,73.00765836138176,65.24098971202602,47.74787090093872,Critical,51.7
REC_2015_01_D_007,20150101,7,1,0,0,0.0,1.1893,2.0585,26.83,6.17,0.812,30.48,0.6295,0.9,29.90170475194828,20.2387914538284,43.95824757040232,54.63283756274875,34.09320366909242,Moderate,58.2
REC_2015_01_D_008,20150101,8,1,0,0,0.0,-0.7798,3.238,25.33,2.18,0.3283,87.07,0.4084,0.9,32.34748038421536,40.69340736706874,39.60350081987296,64.23231159068814,36.932008843862405,High,130.7
REC_2015_01_D_009,20150101,9,1,0,0,0.0,1.3103,-0.1318,19.5,6.2,0.773,22.11,0.5214,0.9,18.342056433452967,50.08491263786348,53.10418209807553,58.55649434716943,39.58859174458676,High,142.3
REC_2015_01_D_010,20150101,10,1,0,0,0.0,-0.3629,-2.7852,18.77,1.87,0.8326,21.71,0.5287,0.9,24.37897518596324,66.80242329254789,50.51203122664417,72.93139704626401,42.056026776334186,Critical,125.2
REC_2015_01_D_011,20150101,11,1,0,0,0.0,-0.5282,-0.2327,59.16,3.56,0.7863,21.64,0.6159,0.82,23.04965486267433,12.3972657725921,48.83636581485989,52.59801440993439,31.70370147367842,Moderate,91.8
REC_2015_01_D_012,20150101,12,1,0,0,0.0,1.1532,-0.4938,51.92,7.0,0.95,4.74,0.6857,0.82,27.80116241710205,19.386169810733687,60.40118317747664,69.1254531216438,34.462096347854434,Moderate,103.7
REC_2015_01_D_013,20150101,13,2,1,0,2.99,-0.4892,0.4368,53.19,2.57,0.6205,37.66,0.63,0.82,22.103801882324596,19.00790603810396,29.05053961777632,75.62681841126087,23.520388296415277,Low,111.0
REC_2015_01_D_014,20150101,14,1,0,0,0.0,-0.0189,-0.9836,44.97,3.43,0.8609,13.19,0.6265,0.82,18.64006466743312,60.67758591334962,48.258667893023045,66.29205991985005,39.567670867853096,High,104.0
REC_2015_01_D_015,20150101,15,1,0,0,0.0,1.1669,-0.3324,38.17,6.09,0.9047,4.27,0.5986,0.82,23.079412538465387,62.93625117286799,54.17174621865668,66.57940287092325,42.884942535236135,Critical,98.3
REC_2015_01_D_016,20150101,16,1,0,0,0.0,-0.0597,-0.5486,38.24,2.93,0.835,17.68,0.5738,0.82,14.684935885785682,72.62325642657125,46.42301970965487,72.43592843076276,39.67986411363969,High,61.7
