Prediction_ID,GeographyKey,Prediction_DateKey,Forecast_DateKey,Predicted_Disaster_Probability,Predicted_Disaster_Class,Alert_Level,Decision_Threshold,Actual_Disaster_Occurred,Expected_Economic_Risk_Million,Prediction_Type,Is_Out_Of_Sample,Model_Version,Training_End_Date
REC_2015_01_D_001,1,20150101,20150201,0.057692307978868484,0,Low,0.1708459109067917,0.0,23.64236898005595,Training fitted,0,3.1,2022-12-01
REC_2015_02_D_001,1,20150201,20150301,0.08920187503099442,0,Low,0.1708459109067917,0.0,35.73900741900081,Training fitted,0,3.1,2022-12-01
REC_2015_03_D_001,1,20150301,20150401,0.6052631735801697,1,Critical,0.1708459109067917,0.0,327.2066405077359,Training fitted,0,3.1,2022-12-01
REC_2015_04_D_001,1,20150401,20150501,0.6052631735801697,1,Critical,0.1708459109067917,0.0,322.2640064892511,Training fitted,0,3.1,2022-12-01
REC_2015_05_D_001,1,20150501,20150601,0.2068965584039688,1,Moderate,0.1708459109067917,0.0,121.6849944594907,Training fitted,0,3.1,2022-12-01
REC_2015_06_D_001,1,20150601,20150701,0.1808510571718216,1,Moderate,0.1708459109067917,0.0,86.50238786424703,Training fitted,0,3.1,2022-12-01
REC_2015_07_D_001,1,20150701,20150801,0.1808510571718216,1,Moderate,0.1708459109067917,0.0,93.46612070498065,Training fitted,0,3.1,2022-12-01
REC_2015_08_D_001,1,20150801,20150901,0.2068965584039688,1,Moderate,0.1708459109067917,0.0,89.30143356987584,Training fitted,0,3.1,2022-12-01
REC_2015_09_D_001,1,20150901,20151001,0.35384616255760193,1,High,0.1708459109067917,1.0,163.54038387442523,Training fitted,0,3.1,2022-12-01
REC_2015_10_D_001,1,20151001,20151101,0.8333333134651184,1,Critical,0.1708459109067917,1.0,475.5348469844841,Training fitted,0,3.1,2022-12-01
REC_2015_11_D_001,1,20151101,20151201,0.1808510571718216,1,Moderate,0.1708459109067917,1.0,126.49883254557882,Training fitted,0,3.1,2022-12-01
REC_2015_12_D_001,1,20151201,20160101,0.08920187503099442,0,Low,0.1708459109067917,0.0,39.495554107815444,Training fitted,0,3.1,2022-12-01
REC_2016_01_D_001,1,20160101,20160201,0.057692307978868484,0,Low,0.1708459109067917,0.0,21.556381165104934,Training fitted,0,3.1,2022-12-01
REC_2016_02_D_001,1,20160201,20160301,0.08920187503099442,0,Low,0.1708459109067917,0.0,34.55498692229054,Training fitted,0,3.1,2022-12-01
REC_2016_03_D_001,1,20160301,20160401,0.6052631735801697,1,Critical,0.1708459109067917,0.0,315.5318841698874,Training fitted,0,3.1,2022-12-01
REC_2016_04_D_001,1,20160401,20160501,0.6052631735801697,1,Critical,0.1708459109067917,1.0,315.2999157385974,Training fitted,0,3.1,2022-12-01
REC_2016_05_D_001,1,20160501,20160601,0.2068965584039688,1,Moderate,0.1708459109067917,0.0,129.38825723814242,Training fitted,0,3.1,2022-12-01
REC_2016_06_D_001,1,20160601,20160701,0.08955223858356476,0,Low,0.1708459109067917,0.0,45.269836449735514,Training fitted,0,3.1,2022-12-01
REC_2016_07_D_001,1,20160701,20160801,0.4000000059604645,1,High,0.1708459109067917,0.0,173.2686557122179,Training fitted,0,3.1,2022-12-01
REC_2016_08_D_001,1,20160801,20160901,0.4000000059604645,1,High,0.1708459109067917,0.0,166.62570418692036,Training fitted,0,3.1,2022-12-01
REC_2016_09_D_001,1,20160901,20161001,0.35384616255760193,1,High,0.1708459109067917,1.0,163.45125358194312,Training fitted,0,3.1,2022-12-01
REC_2016_10_D_001,1,20161001,20161101,0.8295012712478638,1,Critical,0.1708459109067917,1.0,491.84905990555023,Training fitted,0,3.1,2022-12-01
REC_2016_11_D_001,1,20161101,20161201,0.08955223858356476,0,Low,0.1708459109067917,0.0,62.75919499176618,Training fitted,0,3.1,2022-12-01
REC_2016_12_D_001,1,20161201,20170101,0.08920187503099442,0,Low,0.1708459109067917,0.0,40.2448787055992,Training fitted,0,3.1,2022-12-01
REC_2017_01_D_001,1,20170101,20170201,0.08920187503099442,0,Low,0.1708459109067917,1.0,34.99094059841692,Training fitted,0,3.1,2022-12-01
REC_2017_02_D_001,1,20170201,20170301,0.08920187503099442,0,Low,0.1708459109067917,0.0,33.61998648180747,Training fitted,0,3.1,2022-12-01
REC_2017_03_D_001,1,20170301,20170401,0.6052631735801697,1,Critical,0.1708459109067917,1.0,307.1317866590935,Training fitted,0,3.1,2022-12-01
REC_2017_04_D_001,1,20170401,20170501,0.6052631735801697,1,Critical,0.1708459109067917,1.0,360.9790889136296,Training fitted,0,3.1,2022-12-01
REC_2017_05_D_001,1,20170501,20170601,0.2068965584039688,1,Moderate,0.1708459109067917,0.0,179.31801457196718,Training fitted,0,3.1,2022-12-01
REC_2017_06_D_001,1,20170601,20170701,0.08920187503099442,0,Low,0.1708459109067917,0.0,58.34898077919851,Training fitted,0,3.1,2022-12-01
REC_2017_07_D_001,1,20170701,20170801,0.08955223858356476,0,Low,0.1708459109067917,0.0,50.26960986054646,Training fitted,0,3.1,2022-12-01
REC_2017_08_D_001,1,20170801,20170901,0.35384616255760193,1,High,0.1708459109067917,0.0,169.58730385076095,Training fitted,0,3.1,2022-12-01
REC_2017_09_D_001,1,20170901,20171001,0.35384616255760193,1,High,0.1708459109067917,1.0,167.36796483808715,Training fitted,0,3.1,2022-12-01
REC_2017_10_D_001,1,20171001,20171101,0.8333333134651184,1,Critical,0.1708459109067917,1.0,503.62830095493274,Training fitted,0,3.1,2022-12-01
REC_2017_11_D_001,1,20171101,20171201,0.1808510571718216,1,Moderate,0.1708459109067917,0.0,132.57954113694493,Training fitted,0,3.1,2022-12-01
REC_2017_12_D_001,1,20171201,20180101,0.05970149114727974,0,Low,0.1708459109067917,0.0,28.66222353165881,Training fitted,0,3.1,2022-12-01
REC_2018_01_D_001,1,20180101,20180201,0.08920187503099442,0,Low,0.1708459109067917,0.0,38.48322273359517,Training fitted,0,3.1,2022-12-01
REC_2018_02_D_001,1,20180201,20180301,0.08920187503099442,0,Low,0.1708459109067917,0.0,36.73450703816058,Training fitted,0,3.1,2022-12-01
REC_2018_03_D_001,1,20180301,20180401,0.46875,1,High,0.1708459109067917,0.0,230.99674030160574,Training fitted,0,3.1,2022-12-01
REC_2018_04_D_001,1,20180401,20180501,0.46875,1,High,0.1708459109067917,1.0,232.17538725082187,Training fitted,0,3.1,2022-12-01
REC_2018_05_D_001,1,20180501,20180601,0.2068965584039688,1,Moderate,0.1708459109067917,0.0,131.45565721324337,Training fitted,0,3.1,2022-12-01
REC_2018_06_D_001,1,20180601,20180701,0.08955223858356476,0,Low,0.1708459109067917,0.0,47.63936812134686,Training fitted,0,3.1,2022-12-01
REC_2018_07_D_001,1,20180701,20180801,0.35384616255760193,1,High,0.1708459109067917,0.0,161.51751972348126,Training fitted,0,3.1,2022-12-01
REC_2018_08_D_001,1,20180801,20180901,0.44464343786239624,1,High,0.1708459109067917,0.0,201.35113311553908,Training fitted,0,3.1,2022-12-01
REC_2018_09_D_001,1,20180901,20181001,0.4000000059604645,1,High,0.1708459109067917,0.0,198.53305769124805,Training fitted,0,3.1,2022-12-01
REC_2018_10_D_001,1,20181001,20181101,0.8333333134651184,1,Critical,0.1708459109067917,1.0,574.8915250569617,Training fitted,0,3.1,2022-12-01
REC_2018_11_D_001,1,20181101,20181201,0.6052631735801697,1,Critical,0.1708459109067917,0.0,438.1991925539494,Training fitted,0,3.1,2022-12-01
REC_2018_12_D_001,1,20181201,20190101,0.05970149114727974,0,Low,0.1708459109067917,0.0,28.892903321821063,Training fitted,0,3.1,2022-12-01
REC_2019_01_D_001,1,20190101,20190201,0.05970149114727974,0,Low,0.1708459109067917,0.0,22.33998599518771,Training fitted,0,3.1,2022-12-01
REC_2019_02_D_001,1,20190201,20190301,0.08920187503099442,0,Low,0.1708459109067917,0.0,32.815330389028915,Training fitted,0,3.1,2022-12-01
REC_2019_03_D_001,1,20190301,20190401,0.6052631735801697,1,Critical,0.1708459109067917,0.0,364.09009054222236,Training fitted,0,3.1,2022-12-01
REC_2019_04_D_001,1,20190401,20190501,0.6052631735801697,1,Critical,0.1708459109067917,0.0,358.4200927246944,Training fitted,0,3.1,2022-12-01
REC_2019_05_D_001,1,20190501,20190601,0.2068965584039688,1,Moderate,0.1708459109067917,0.0,140.7299015292768,Training fitted,0,3.1,2022-12-01
REC_2019_06_D_001,1,20190601,20190701,0.1808510571718216,1,Moderate,0.1708459109067917,0.0,95.71383759698584,Training fitted,0,3.1,2022-12-01
REC_2019_07_D_001,1,20190701,20190801,0.35384616255760193,1,High,0.1708459109067917,1.0,159.08155894206232,Training fitted,0,3.1,2022-12-01
REC_2019_08_D_001,1,20190801,20190901,0.35384616255760193,1,High,0.1708459109067917,0.0,156.185013200679,Training fitted,0,3.1,2022-12-01
REC_2019_09_D_001,1,20190901,20191001,0.35384616255760193,1,High,0.1708459109067917,1.0,132.23765187018594,Training fitted,0,3.1,2022-12-01
REC_2019_10_D_001,1,20191001,20191101,0.8295012712478638,1,Critical,0.1708459109067917,1.0,463.015344451779,Training fitted,0,3.1,2022-12-01
REC_2019_11_D_001,1,20191101,20191201,0.1808510571718216,1,Moderate,0.1708459109067917,0.0,137.98307872708824,Training fitted,0,3.1,2022-12-01
REC_2019_12_D_001,1,20191201,20200101,0.08920187503099442,0,Low,0.1708459109067917,0.0,48.15879737658689,Training fitted,0,3.1,2022-12-01
REC_2020_01_D_001,1,20200101,20200201,0.04545454680919647,0,Low,0.1708459109067917,0.0,19.855586482392116,Training fitted,0,3.1,2022-12-01
REC_2020_02_D_001,1,20200201,20200301,0.012903225608170033,0,Low,0.1708459109067917,0.0,5.737491509780215,Training fitted,0,3.1,2022-12-01
REC_2020_03_D_001,1,20200301,20200401,0.6052631735801697,1,Critical,0.1708459109067917,0.0,367.2386197186861,Training fitted,0,3.1,2022-12-01
REC_2020_04_D_001,1,20200401,20200501,0.6052631735801697,1,Critical,0.1708459109067917,1.0,352.4983876558478,Training fitted,0,3.1,2022-12-01
REC_2020_05_D_001,1,20200501,20200601,0.35384616255760193,1,High,0.1708459109067917,0.0,278.11852886133744,Training fitted,0,3.1,2022-12-01
REC_2020_06_D_001,1,20200601,20200701,0.08920187503099442,0,Low,0.1708459109067917,0.0,57.225344750935704,Training fitted,0,3.1,2022-12-01
REC_2020_07_D_001,1,20200701,20200801,0.2068965584039688,1,Moderate,0.1708459109067917,0.0,113.43057460886001,Training fitted,0,3.1,2022-12-01
REC_2020_08_D_001,1,20200801,20200901,0.35384616255760193,1,High,0.1708459109067917,1.0,182.12660639524333,Training fitted,0,3.1,2022-12-01
REC_2020_09_D_001,1,20200901,20201001,0.4000000059604645,1,High,0.1708459109067917,1.0,197.08955294941634,Training fitted,0,3.1,2022-12-01
REC_2020_10_D_001,1,20201001,20201101,0.35384616255760193,1,High,0.1708459109067917,1.0,232.03727347983516,Training fitted,0,3.1,2022-12-01
REC_2020_11_D_001,1,20201101,20201201,0.1808510571718216,1,Moderate,0.1708459109067917,0.0,132.6210864103475,Training fitted,0,3.1,2022-12-01
REC_2020_12_D_001,1,20201201,20210101,0.05970149114727974,0,Low,0.1708459109067917,0.0,28.53022060356435,Training fitted,0,3.1,2022-12-01
REC_2021_01_D_001,1,20210101,20210201,0.05970149114727974,0,Low,0.1708459109067917,0.0,23.26530103603166,Training fitted,0,3.1,2022-12-01
REC_2021_02_D_001,1,20210201,20210301,0.08920187503099442,0,Low,0.1708459109067917,0.0,41.119335463567936,Training fitted,0,3.1,2022-12-01
